image_id,description
164_4.jpg,a silver and gold icon of the virgin mary
11106697.jpg,a painting of a street at night
58580.jpg,a painting of a woman in a room
2223_3.jpg,a painting of two people in formal clothing
0944_1.jpg,a portrait of a young girl
1899_1.jpg,a painting of a woman in a blue dress
0484_1.jpg,"a view of the palace of versailles, with the palace of versailles in the background"
98361.jpg,a painting of a city street with people
140_1.jpg,the icon of jesus
60265.jpg,a painting of trees in a forest
1952_mainfoto_05.jpg,a pair of 19th century indian paintings
vincent-van-gogh_landscape-with-snow-1888.jpg,a painting of a road with a person walking on it
77803.jpg,a blue and black painting with circles on it
88550.jpg,a painting of strawberries on a table
1082973.jpg,a painting of a snowy scene with a man and woman
1080225.jpg,a painting of a vase and two glasses
28813.jpg,a painting of a horse drawn by a man
38541.jpg,a painting with a white background and a yellow and blue paint spe
53585.jpg,a painting of a woman in a yellow dress
31924.jpg,a woman in a white dress and green dress standing in a room
25579.jpg,a painting of a path through trees
11711.jpg,a painting of a colorful abstract design
121_32.png,"a painting with red, yellow and black colors"
t3_vaixzl_1.jpg,a man is standing on the ground with a backpack
26009.jpg,a white square shaped tile with a pattern
190_1.png,a painting of a doorway with a black door
2281.jpg,a painting of a snowy scene with a man walking in the snow
76_27.png,a painting of a blue and pink abstract
319_16.png,a room with a rad rad rad rad rad rad rad ra
203_132.png,a green and orange abstract painting
64988.jpg,the cover of the book the garden of eden
t3_usulwa.jpg,a painting of a bird on a white surface
8034.jpg,a red wooden wall with a white frame
36436.jpg,chinese painting on paper
25213.jpg,a painting of a man and woman sitting on a bench
202_4.jpg,the virgin mary and child
lavacourt-sun-and-snow.jpg,a painting of a snowy scene with a house and a boat
78223.jpg,a painting of a woman and a man
t3_v9pnqc.jpg,a painting of a nude woman in a green dress
41800.jpg,a man on a horse in the middle ages
1041727.jpg,a painting of flowers in a vase
30230.jpg,a painting of a woman and two men in a church
claude-monet_flowers-on-the-banks-of-seine-near-vetheuil.jpg,a painting of a river with flowers and trees
46910.jpg,a black and white painting with white lines
24073.jpg,a painting of a building with trees in the background
15283.jpg,the virgin of the ann
18730.jpg,a painting of fruit and a mirror on a table
0741_1.jpg,a painting of a man in a yellow vest and red vest
103201.jpg,a painting of a table with flowers and fruit
31294.jpg,a painting of a man with a red hat
35461.jpg,a painting of a woman sitting on a beach
19859.jpg,"the cover of the album,'the art of the world '"
70763.jpg,a painting of a crowd in a city
234_2.png,"three squares in a row, each with a square in the center"
209_3.png,a painting with many colors and shapes
1044758.jpg,a painting of a tree in the woods
268_23.png,a painting of a vase with flowers in it
405_2.png,a large abstract painting on a wall
223_5.jpg,a painting of a city with a mountain in the background
24931.jpg,a painting of a woman in a black dress
0636_3.jpg,a miniature portrait of a young girl in a gold frame
1028_5.jpg,a painting of a group of people on horseback
652_4.jpg,an icon depicting the ann of the ann of the ann of the ann of the ann of the
t3_m288yh_1.jpg,a painting of a river with trees and flowers
11444.jpg,a painting of a violin and a piece of paper
79_46.png,a blue and black painting with white lines
14731.jpg,a painting of a woman sitting in a room with a dog
claude-monet_sunset.jpg,a painting of a river with trees and water
68704.jpg,the adoration of the innocent by caravao
painting325_1.png,a painting of a mountain scene with a lake
18518.jpg,a painting of a woman sewing in a room
ilya-repin_ukrainian-peasant-house-1880.jpg,a painting of a thatched house with a thatched roof
177_154.png,a painting with a white background and a striped pattern
442_3.png,a painting on a canvas in a room
89904.jpg,the virgin and child by giovanni de'medici
24249.jpg,a painting of a river with trees in the background
2167.jpg,a painting of flowers in a vase
80287.jpg,a painting of a man and woman in a forest
344_15.png,a red square with yellow dots on it
13750.jpg,the painting of the village by franz schne
00000070_(4).jpg,a mountain with a few trees on it
15903.jpg,a painting of a woman walking through a park
9_47.png,a painting of a cityscape
t3_u00e0f.jpg,a painting of trees in the woods
claude-monet_apple-trees-in-blossom-by-the-water.jpg,a painting of a field with a tree in the background
Abstract_image_2216.jpg,a blue square with a square in the middle
59_24.png,a painting of a cityscape
21646.jpg,"the river at argent, 1888 by claude claude"
36371.jpg,a black and white drawing of a woman with a man
30014.jpg,a black and white painting on a white wall
alfred-william-finch_landscape-from-padasjoki-1918.jpg,a painting of a landscape with a lake and mountains in the background
37454.jpg,a forest with moss and trees
27756.jpg,a painting of a family
198_57.png,"a painting with a red, black and blue color"
1004601.jpg,a painting of a man and woman in a field
29288.jpg,a painting of a man in a blue coat
1031222.jpg,a painting of a street with a building in the background
35697.jpg,a painting of a city with buildings and clouds
10626.jpg,"the cover of the album,'the man in the mirror '"
21401.jpg,a drawing of a group of people in a river
