image_id,description
50439.jpg,a painting of a woman sitting in a chair
2309_1.jpg,a painting of a woman sitting in a chair
16669.jpg,a drawing of a woman sitting on a chair
98736.jpg,a painting of a woman in a red dress
15236.jpg,a painting of a rainbow in the sky
1313_4.jpg,a painting of a man in a red robe holding a staff
1084458.jpg,a painting of a table with a bottle and a plate
190_8.png,a black and white painting with a red dot on it
429_26.png,a painting with a black and white background
43811.jpg,a painting of rocks and trees
30543.jpg,the ann of the virgin by caravaille
21625.jpg,a painting on a wall with a vase and flowers
11121689.jpg,a man is walking down the street in front of a car
1_12.png,a painting of a yellow and gray planet
30618.jpg,the virgin and child by retti
46160.jpg,a river landscape with figures and figures by a river landscape with figures and figures by a river
view-over-vetheuil.jpg,a painting of a river with a small town in the background
7560.jpg,a painting of a woman in a red dress
2127_4.jpg,a painting of a man in a room with a large green curtain
66_24.png,a painting of a woman in pink and green
0985_2.jpg,a painting of people on a beach
2205_3.jpg,a painting of a woman sitting at a table with fruit
1081958.jpg,a painting of a tree with flowers and a house in the background
00599.jpg,a painting of a city with buildings and trees
341_11.png,"a painting of a red, white and blue geometric design"
136_22.png,a painting of green and yellow
315_11.png,a black and white painting on a wall
27312.jpg,a painting of two people in a boat
39442.jpg,a painting of a house in the woods
25896.jpg,a painting of a woman in red and white
0843.jpg,a painting of a man on a horse with a bird flying above him
1816_2.jpg,a painting of a man in a yellow vest and red vest
292_11.png,a yellow and blue triangle on a white surface
40001221.jpg,the last supper of the virgins
37259.jpg,a painting of a farm with a pling machine
87_4.jpg,a black and white drawing of a group of people
0244.jpg,a portrait of a young girl
29182.jpg,the virgin of the cross by leonardo leonardo van van van van van van van van van van van
0959_2.jpg,a painting of a woman in a white dress
308_5.jpg,"a turtle, from the book the life of the turtles by john whit"
vincent-van-gogh_tree-roots-1890.jpg,a painting of trees in the woods
68872.jpg,a painting of a man on horseback with a horse and a castle in the background
Pietro_Perugino_075.jpg,a painting of a woman holding a baby
paul-cezanne_jourdan-s-cottage-1906.jpg,a painting of a house in the countryside
393_21.png,a square tile with a black and white spec
17775.jpg,a painting of a mountain with a lake in the fore
15922.jpg,a painting of a woman sitting on a chair
1480893776343070351.jpg,a woman in a dress
92918.jpg,a painting of blue and green circles
19250.jpg,a painting of a woman in a blue dress
85_5.png,a pair of yellow and white pads
55212.jpg,two drawings of a woman with her arms crossed
60001636.jpg,a painting of a city with buildings and people
1099158.jpg,a drawing of a helmet with a light on it
13_71.png,a painting of squares and squares in black and white
1047163.jpg,a painting of fruit and a bird on a ledge
31670.jpg,a painting of a cat with a red and blue paint spied on it
1068_2.jpg,a painting of a man on a horse with a bird flying above him
Still Life Bloaters on a Piece of Yellow Paper.jpg,two fish on a yellow cloth
118.jpg,a painting of a room with people in it
42133.jpg,a painting with red and yellow paint splats on a blue background
38007.jpg,a square slate tile with a grey and white color
20522.jpg,a painting of a road with a church in the background
96587.jpg,"a painting of three women in a red, yellow and blue"
14242.jpg,a book with a painting on it
t3_tt2z7m_1.jpg,a table with paint and brushes on it
393_72.png,a painting of a blue and brown striped pattern
232_2.png,an orange painting on a wall
66394.jpg,a drawing of a man on a horse with a dog
54929.jpg,a painting of a man in a black coat
1122395.jpg,a painting of fruit and leaves on a table
17076.jpg,a rug with a striped pattern
philip-wilson-steer_the-oak-grove-bridgnorth-shropshire.jpg,a painting of trees in a field
1095028.jpg,a painting of a woman sitting on a red chair
56064.jpg,a painting of a field with trees and clouds
konstantin-yuon_the-winter-day-1910.jpg,a painting of a snowy scene with trees and houses
53230.jpg,a painting of a woman sitting in a chair
2648_mainfoto_05_1.jpg,the icon of the person
2078.jpg,a painting of a woman in a red dress
34914.jpg,a painting of a man in a red uniform
227_1.jpg,"person, the person of the person, person, person, person, person, person, person"
50206.jpg,a painting of a mountain scene with trees and hills
77_56.png,"a painting of a red, yellow and blue abstract painting"
181_9.png,a painting of circles on a black background
369_5.png,a painting with a red line on the bottom
59300.jpg,a painting of two pumpkins on a table
342_4.jpg,the three kings of the holy family
1110_2.jpg,a painting of a woman in a red dress and a green hat
26090.jpg,the meeting of the apostles
31584.jpg,a painting of a woman in a hat
39280.jpg,a painting of a man sitting on a bench
70295.jpg,a painting of a yellow hexagon
32039.jpg,a painting of a field with a fence
270_20.png,a painting with a black square on it
82644.jpg,a painting of a green and purple striped wall
paul-cezanne_the-lime-kiln.jpg,a painting of a house in the snow
1 (2836) 11.28.58.jpg,a woman with red lipstick and a white background
17666.jpg,a painting of a woman sitting on a bench in front of a waterfall
14031.jpg,a painting of a beach with a boat in the water
1668_2.jpg,a painting of a man on a horse with a bird flying above him
