image_id,description
42573.jpg,a painting of a man in a chair
Abstract_image_2253.jpg,a painting with a black and blue paint splat
69106.jpg,a painting of a street with houses in the background
1009058.jpg,the cr of the cross by caravao
the-manneport.jpg,the rocks at pourville by claude claude
1103292.jpg,a painting of flowers in a vase
1434_4.jpg,a painting of a woman in a garden
67859.jpg,a drawing of a man with a beard
87585.jpg,a black and white photo of a pair of two tubes
306_4.png,a painting of white dots on an orange background
vincent-van-gogh_landscape-at-nuenen.jpg,a black and white drawing of trees in a pond
1795.jpg,a painting of a man in a suit holding a book
55848.jpg,a painting of squares and squares
1009070.jpg,a painting of a man being a woman on the cross
1051398.jpg,a painting of flowers in a vase on a table
26487.jpg,a horse drawn by a carriage on a country road
1009414.jpg,a painting of a group of people in a landscape
t3_vd2597.jpg,a painting of a train on a dirt road
5791_mainfoto_05_1.jpg,a sculpture of a woman standing on a wooden base
188_5.png,"person,'the three graces ', person, person, person, person, person,"
0949_2.jpg,a painting of a woman in a blue dress
1 (1205).jpg,a man with a scarf around his neck
50349.jpg,a woman in a white dress and a gold headdre by jean - louis
pierre-auguste-renoir_the-seine-at-argenteuil-1888.jpg,a painting of boats on a river
84052.jpg,a painting of a road in the woods
1480905834010682703.jpg,a city street with a lot of signs
52810.jpg,a drawing of a woman in a hat
101556.jpg,a white piece of paper with a piece of paper on it
93070.jpg,the martyr of saint john by retti
18866.jpg,a painting of a city with buildings and boats
46431.jpg,a painting of a building on a river
56917.jpg,a blue color with a white border
30981.jpg,a painting of a house with a tower
2132_1.jpg,a painting of a man in a black suit
2204.jpg,the three gentlemen by sir leighton
22929.jpg,a painting of a farm with a house in the background
127_3.png,a glass sculpture with a wooden base
30003470.jpg,a painting of two women sitting on a bed
13453.jpg,the virgin and the virgin by leonardo leonardo leonardo leonardo leonardo leonardo leonardo leonardo leonardo leonardo leonardo leonardo leonardo
1001771.jpg,a painting of two men in a room
93053.jpg,jesus and the baptism
292_8.jpg,a gold sculpture of a woman sitting on a stool
68834.jpg,a black and white striped pattern with red and white stripes
17446.jpg,two panels depicting the three evangelists
1088734.jpg,a painting of a cup and a book
1037437.jpg,a painting of a cup and a book on a table
60981.jpg,a drawing of a crowd of people in front of a building
54483.jpg,a blue and white painting with a black and white painting
11107165.jpg,a painting of a bridge with boats on it
82714.jpg,a painting of a butterfly on a black background
12513.jpg,the nat scene with the three kings and the three kings
386_45.png,two paintings of different colors and shapes
t3_up4wj2_1.jpg,lemons on a tree
2260_mainfoto_05_3.jpg,a painting of a woman holding a child
698_4.jpg,the virgin mary and child
57305.jpg,"the cover of the album,'the best of the best of the best '"
43266.jpg,two women in a park by henri - auguste auguste auguste auguste auguste auguste auguste auguste auguste auguste auguste
62921.jpg,a painting of a tree in the sunset
54083.jpg,a painting of a woman sitting on a chair
274_6.jpg,a painting of a woman holding a baby
24586.jpg,a painting of a man in a black coat
94588.jpg,a painting of trees and rocks in a field
50_21.png,a painting of a white flower on a black background
62807.jpg,a painting of flowers in a vase on a table
21456.jpg,a drawing of a group of people playing in the street
341_20.png,a painting of a landscape with a blue sky
0164_2.jpg,"portrait of a lady, half length, in a brown dress, with a white collar and a"
30001014.jpg,"the crucus, by salvador de castro"
t3_v128my_1.jpg,a painting of a field with trees and a light pole
51770.jpg,a painting of a white dog on a black background
234_24.png,a painting of a black and white geometric pattern
00000127_(6).jpg,a small waterfall in the middle of a small town
93104.jpg,the baptism of christ
83_1.png,a black and white painting with a black and white image of two faces
17_91.png,"three women in swimsuits, one with a circle"
22362.jpg,a painting of a train on a track
alfred-sisley_on-the-road-from-moret-1882.jpg,a painting of a road with a hill in the background
55518.jpg,a red and black abstract painting on a white background
1035522.jpg,a piece of food that is on a table
1043649.jpg,a painting of a room with a table and chairs
2793.jpg,a painting of two women sitting on a couch
117_0.png,"a painting with a red, blue and black design"
1418_4.jpg,a painting of a man on a horse with a bird flying above him
0810_2.jpg,a painting of a woman in a blue dress
338_24.png,a black and white painting with a circle
72713.jpg,a large wooden cabinet with many gold and silver decorations
00000210.jpg,an old stone house in the middle of the prairie
28043.jpg,a painting of a tree in the middle of a park
423_13.png,a painting of three men in uniform walking down a street
32429.jpg,a painting of a church with people in it
23595.jpg,a yellow and purple painting with a bird flying over it
00000160_(5).jpg,a boat is docked in the clear blue water
30004235.jpg,the virgin and child by jan van derberg
33798.jpg,a painting of a street scene with people sitting at tables
39325.jpg,a painting of a man and a woman walking down a street
1480902991421680981.jpg,a small dog with a red blanket on it's back
256_109.png,a painting of a woman with a ball
10383.jpg,a painting of a woman and a man in a field
00000233_(4).jpg,a beach with rocks and water
1082929.jpg,"lilas and apples, oil on canvas, 24 x 30 cm, 2015"
