image_id,description
57372.jpg,a painting of a woman and a cat
35214.jpg,a man in a black hat and a white collar
1122.jpg,still life with fruit and fruit jug by paul mcc
13392.jpg,a painting of a mountain with a blue sky
56101.jpg,a painting of a beach with people on the sand
47_11.png,a painting with many colors and black and white
77867.jpg,a painting of a bird on a brown background
127_34.png,a piece of concrete with a brown and white paint
26_0.png,a drawing of a man in a hat
201_2.png,a painting of two people standing on a beach
27_6.jpg,a painting of a house on a lake
127_11.png,a piece of paper with a drawing on it
37545.jpg,a painting of a man holding a child
1663_2.jpg,a painting of a woman and a dog
49832.jpg,a portrait of a woman in a white dress
1787_2.jpg,a painting of a group of men in a building
92249.jpg,a painting of a woman with a book
365_41.png,a wall with a painting on it and a paper plate hanging on the wall
70494.jpg,a painting of people in a field
00000061.jpg,the sun sets over the mountains and the road
1014551.jpg,a painting of snow covered roofs and trees
the-pool-seen-from-the-bridge-argenteuil.jpg,a painting of boats on the water
9156.jpg,a painting of a vase and fruit on a table
t3_vcdb6q.jpg,a small candle on a black cloth
56833.jpg,"a man in a cap and a cap, seated on a chair"
74_7.jpg,a bronze sculpture of a woman laying on her back
81379.jpg,a blue cake with gold sprins on top
91863.jpg,a painting of a hallway with a checker
1820_3.jpg,a painting of a man with a feathered hat
54900.jpg,a painting with a black background and a red and white stripe
52542.jpg,a painting of a woman with a hat
30247.jpg,a drawing of a black and brown striped pattern
40304.jpg,a painting of a man in a suit and tie
52_7.png,a piece of paper with a black and white pattern
vincent-van-gogh_autumn-landscape-with-four-trees-1885.jpg,a painting of trees in autumn
1001769.jpg,an angel holding a child in his arms
64005.jpg,a red and white drawing of a piece of meat
00000094_(6).jpg,a waterfall in the jungle
53730.jpg,a painting of a woman in a room
240_5.png,an orange square painting on a white background
177_36.png,a blue and yellow striped background
58846.jpg,a painting of a bird on a table
11731.jpg,"a painting with red, green and blue stripes"
1480894155348670122.jpg,a shirt with a black and white design on it
1088708.jpg,a painting of a guitar and a book
25382.jpg,a painting of a city with buildings and trees
27271.jpg,a painting of two women in a field
70833.jpg,a painting of a bridge with a clock on it
75814.jpg,still life with jugs and bread by henri le - jacques
t3_i6mnmo.jpg,a painting of a blue sky and water
45957.jpg,a painting of a street scene with a man walking
14092.jpg,a painting of two men laying on the floor
john-singer-sargent_a-backwater-at-wargrave-1887.jpg,a painting of a tree in a pond
t3_uybka2_1.jpg,a painting of a man with a beard and a beard
504a7a0346.jpg,a crab on the beach
1684_1.jpg,a painting of a man with a beard
1284_1.jpg,a portrait of a lady in a gold frame
1006_2.jpg,a miniature portrait of a boy
1046104.jpg,a painting of a vase and a fruit
00000179.jpg,a woman standing on a mountain overlooking a river
12045.jpg,a painting of a plate of watermells
1726_4.jpg,a painting of a snowy landscape
58512.jpg,a painting of a garden with flowers and plants
1882_3.jpg,a painting of a river with trees and mountains in the background
20067.jpg,two boys with bows and arrows
124_14.png,a painting of a man with a guitar
41179.jpg,madonna and saint john by jan van derberg
79963.jpg,"the cr cr, c'est, c'est, c'est, c'est"
39905.jpg,a painting of a bunch of flowers and other things
grainstacks-white-frost-effect.jpg,a painting of hay stacks in the snow
102311.jpg,a painting of two people in a square
1842.jpg,a painting of a field with a path leading to a house
1004539.jpg,a painting of a woman in a red dress sitting on a red couch
j-e-h-macdonald_forest-wilderness-1921.jpg,a painting of a mountain scene
19915.jpg,a painting of trees in the snow
40751.jpg,the adoration of the virgins
13_99.png,a black and white image of a square with the words
t3_v4lec9_1.jpg,a painting of a road leading to a field
48443.jpg,a painting of a face with a blue eye
55654.jpg,a river with a waterfall and a man in the fore by a river with a waterfall and a
222_10.jpg,"a portrait of person, the first person to be crowned by the duke of edinburgh"
29512.jpg,a painting of a woman sitting on a red blanket
299_19.png,"a painting with red, green and blue paint"
50308.jpg,a painting of a mountain scene with a blue sky
93822.jpg,a painting of a colorful striped pattern
50687.jpg,a painting of a church with people walking around it
1480903028306586514.jpg,a black baseball hat with a white embroidered logo
52756.jpg,a painting of a man sitting on a chair
claude-monet_the-bend-of-the-seine-at-lavacourt-winter.jpg,"the house at argent - en - veil, 1886 | claude van gogh | oil paintings"
42871.jpg,a white moon with a black background
12603.jpg,a painting of a woman in a black dress
00000101_(3).jpg,the mountains at sunset
393_24.png,a rug with a white background and a pink and black design
261_5.jpg,a painting of people sitting in a room
0253.jpg,a painting of a boy in a blue coat
391_21.png,a white square with a white background
36925.jpg,a painting of people sitting around a table
Juan_Pantoja_de_la_Cruz_004.jpg,a painting of a young girl in a black dress
melanie-de-bussiere-comtesse-edmond-de-pourtales.jpg,a portrait of a woman in a white dress
81699.jpg,a painting of a house in the snow
