image_id,description
15848.jpg,a painting of a woman sitting at a table
67_22.png,a painting of a square with a red and green square
48588.jpg,a painting of a black and white design
100240.jpg,a painting of squares and squares
60325.jpg,a painting of a garden with a bench and a tree
El_Greco_13.jpg,a painting of a group of people in a room
pierre-auguste-renoir_path-through-the-woods-1874.jpg,a painting of a forest with trees and bushes
1090577.jpg,a painting of purple flowers in a vase
1051669.jpg,a painting of a church in the snow
0676_2.jpg,a portrait of a man in a black coat
50345.jpg,a painting of green and blue paint strokes
464.jpg,a painting of the virgin and child jesus
234_32.png,a white sheet of paper on a table
1031675.jpg,a drawing of a city with buildings and trees
14657.jpg,a painting of a beach with waves crashing
2356_3.jpg,a painting of horses and riders in a field
1044938.jpg,a painting of a vase and two vases
1055438.jpg,a painting of a fountain in a garden
352_74.png,a painting with black and green lines on a white background
21661.jpg,a painting of a woman in a red dress
8_156.png,"person,'homage to the square ', 1923, person"
79478.jpg,the last supper by leonardo leonardora
1036063.jpg,a painting of yellow flowers in a vase
13732.jpg,a painting of a woman sitting at a table
t3_lba2f3_1.jpg,a painting of a vase with orange flowers
41836.jpg,a painting of a woman in a black dress and hat
1480898711822360972.jpg,"the mixtape mixtape featuring rick, dj, dj, and dj"
Abstract_image_1961.jpg,a painting with many different colors and shapes
160_12.png,a painting of a yellow and white striped curtain
t3_ulfvm0.jpg,a painting of a woman with a blue background
55785.jpg,a painting of a dirt road with trees and a horse
20_38.png,a painting of trees with red and blue leaves
24_18.png,a painting with a large circle and a small circle
11040.jpg,a drawing of a wooded scene
17370.jpg,a painting of a woman in a green dress
53693.jpg,a drawing of a woman sitting on a chair
33778.jpg,the cover of the album'the last supper '
1 (2791) 11.28.58.jpg,a woman with red hair and green eyes
1015078.jpg,a painting of flowers in a vase
43_32.png,a painting with circles and squares on it
32314.jpg,a painting of a thatched cottage in the countryside
200_6.png,a painting of green and black stripes
10280.jpg,a red painting with squares on it
00352.jpg,a painting of a field with trees and a sky
171_14.png,a painting with orange and black paint strokes
399_9.png,a white and black drawing of a circle
350_4.jpg,a painting of a woman in a green dress
95078.jpg,the burning of the temple of the temple of the temple of the temple of the temple of the
4582_mainfoto_05_3.jpg,a painting of a woman and two men
771.jpg,a painting of a woman and two children
0481_2.jpg,a portrait of a man in a red coat and green jacket
45571.jpg,a poster for the movie the great wave
Arles View from the Wheat Fields.jpg,"wheatfield, 1889 by vincent van gogh"
54681.jpg,a boat is sailing in the water near a cliff
49420.jpg,a painting of a child holding a ball
162_22.png,a black and white photo of a wall
204_346.png,a painting with yellow and blue paint splats
0333_1.jpg,a portrait of a woman in a white dress
26049.jpg,"the cover of the album,'the art of the modern age '"
35264.jpg,"the cover of the book, the art of the modern age"
5_5.png,a painting of a geometric pattern
32160.jpg,a painting of people on a boat
87519.jpg,a painting of apples in a bowl on a table
81206.jpg,a painting of flowers in a blue vase
53645.jpg,a painting of a woman in a garden
638.jpg,the icon of the mother of god
1716.jpg,a painting of a waterfall in the middle of a forest
20886.jpg,a painting of a plate of food on a table
50864.jpg,"the cover of the album,'the forest '"
51321.jpg,the three shepherds by paul paul
1912_3.jpg,a painting of a man sitting at a desk
19775.jpg,a painting of a woman with a black dress
8008.jpg,a painting of a group of people in a room
40204.jpg,a painting of a red and black arch
43988.jpg,a painting of a woman holding a flower
64342.jpg,"the fall of the rebel, by raphael van gogh van van van van van van van van van"
1052678.jpg,a painting of flowers in a vase on a table
frank-w-benson_landscape-1898.jpg,a painting of a mountain with trees and grass
11115254.jpg,a drawing of a building with a tower in the background
45919.jpg,a painting of a man in a black suit
14219.jpg,a painting of a man in a red suit and white hat
00000023_(6).jpg,the coast at the end of the road in the scottish highlands
0591_3.jpg,a painting of a man in a yellow vest and red vest
30000644.jpg,the virgin and the virgin by giovanni vanna
101402.jpg,a painting of a bowl of fruit and a bowl of fruit
19013.jpg,a painting of a city with buildings and trees
80_8.png,a painting with a red and blue design
75262.jpg,"the cover of the book, the art of the renaissance renaissance"
60768.jpg,the adoration of the infant
72_7.png,a white square with a pink border
20466.jpg,a painting of a man walking down a street
43999.jpg,"the virgin and child, by raphael van gogh"
73306.jpg,a rug with colorful letters and a white background
1009237.jpg,a painting of a woman holding a baby
27194.jpg,a painting of a man sitting on a bench
alfred-sisley_high-wind-1897.jpg,a painting of a cliff on the ocean
28_60.png,a painting with a white background and a black and red design
1102075.jpg,a painting of a flower and a bird
18053.jpg,a painting of people in a boat
102_30.png,a drawing of a house on a hill
