image_id,description
11117241.jpg,a drawing of a building with a car parked in front
46250.jpg,a painting with a red circle on it
1062_5.jpg,a painting of a man in a white suit and red pants
0773_2.jpg,a painting of two people in formal clothing
23315.jpg,"a painting of a red, yellow and green abstract painting"
1441_2.jpg,a painting of a man in a yellow vest and red vest
43044.jpg,a painting of a street scene with people walking
60000278.jpg,the ann of the ann of the ann of the ann of the ann of the ann of the
00515.jpg,"still life with fruit and tea cup, c'est, c'est, c'est"
131_30.png,a painting of squares and squares on a white background
1517_4.jpg,a portrait of a man in a black coat and white shirt
158_6.jpg,a painting of jesus with crown of thorns
103_5.png,a painting of a group of people
1180_2.jpg,a painting of a man holding a sword
00000030_(7).jpg,moss covered rocks in the forest
37375.jpg,a painting of a mountain scene with a lake and a waterfall
162_45.png,a red square with black lines on it
1480909991362991555.jpg,a pair of gold sneakers with spikes
145_2.png,a painting of a man with a guitar
80676.jpg,a painting of a woman holding a child
2343_4.jpg,a painting of a man on a horse with a bird flying above him
1661_1.jpg,a painting of a river scene with a bridge and a castle in the background
55215.jpg,a painting of a tree in the mountains
1121_1.jpg,a painting of a man in a red cloak
20_26.png,a painting of a gate with a fence in the background
267_6.jpg,an old illustration of a building on the river
20001284.jpg,a painting of a bridge over a river
00000277_(6).jpg,a field of pink tulips
211_37.png,a black and white drawing of a woman's face
17052.jpg,a white duck in a cage by a bird
Wooden Sheds.jpg,a painting of a field with a house in the background
34921.jpg,a painting of a man on a rocky road
1085790.jpg,a painting of flowers in a vase on a table
20834.jpg,a painting of a man holding a baby
1781_1.jpg,a painting of a forest with trees and a stream
28959.jpg,a painting with a purple and blue color scheme
221_11.png,"a painting with red, white and blue squares"
73_20.png,a yellow and black rug with a square pattern
3560.jpg,a drawing of a woman sitting in a chair
636_2.jpg,the holy trinity icon
00000025_(3).jpg,a small house on the top of a mountain
337_12.png,a black and white painting on a blackboard
victor-borisov-musatov_spring-sun.jpg,a painting of a woman in a garden
47025.jpg,a painting of two men in the snow
1037_1.jpg,a painting of a woman in a yellow dress
48170.jpg,a painting of a young girl in a hat
415_5.jpg,the icon of the mother and child
62136.jpg,a painting of a man in a boat on a lake
151_21.png,a painting of a green and brown abstract design
84686.jpg,a painting of a black and white triangle
84077.jpg,a drawing of three vases on a table
64453.jpg,a painting of a woman standing on a rocky beach
81_45.png,a black and white painting with a white stripe
trittico-di-san-lorenzo-di-jacopo-bellini-gentile-bellini-giovanni-bellini-e-collaboratori-2.JPG,a painting of a woman holding a baby
43728.jpg,a painting of a house in the countryside
58962.jpg,a painting of a cityscape
71574.jpg,a painting of a vase with flowers and a bird
62270.jpg,a painting of a city street with buildings
73206.jpg,a painting of a face made out of squares
44968.jpg,a painting of a lake with houses on the shore
64430.jpg,a brick with a piece of cement on it
16_38.png,a painting of a woman's face with a yellow background
32140.jpg,a painting of a road near the water
378_9.png,a painting of a white tree in the snow
00000322_(5).jpg,a man standing on a pier in the ocean
162_17.png,a painting with black and red colors
1084744.jpg,a black and white drawing of a city
11117794.jpg,a painting on a wall with a gold frame
95497.jpg,a square piece of red and yellow colored paper
1002641.jpg,a painting of a man on a horse with a woman in the background
22329.jpg,a painting of a black square with a brown and blue border
1004571.jpg,a painting of a child sitting on a table
1015212.jpg,a painting of a lake with a boat in the background
365_29.png,a painting of a blue and yellow square with a green leaf
view-of-bordighera-1884.jpg,a painting of a city in the distance
461_1.jpg,an icon of the person
1088758.jpg,a painting of a chair and a book
44423.jpg,a woman sitting on a rock in the ocean
36_12.jpg,a drawing of a woman with a hat on
47325.jpg,a painting of a square pattern with a yellow and grey stripe
69867.jpg,a painting of a woman sitting in a room
2142_2.jpg,a portrait of a man in a black coat and white shirt
00000250_(4).jpg,the sun sets over the mountains and sea
25577.jpg,a black and white drawing of a man with a beard
33815.jpg,a painting of mountains with clouds in the sky
245_81.png,a painting of a circle with a person in the middle
54859.jpg,a painting of a table with fruit and wine
68670.jpg,a painting of a fish on a yellow background
65783.jpg,a woman in a landscape with a man in the background
4561.jpg,a painting of a road with houses in the background
00180.jpg,a painting of a house in the woods
91532.jpg,a painting of a man with a book
129_17.png,"a painting with black background and yellow, red, blue, green, and yellow"
0020_3.jpg,a painting of a man with a feathered hat
85679.jpg,a painting of a city with many buildings
33800.jpg,a painting of a field with a house in the background
0620_1.jpg,a painting of a man with a feathered hat
40855.jpg,a black and white photo of a man sitting in a chair
1040267.jpg,a painting of flowers in a vase on a table
64725.jpg,a painting of a group of people sitting around a table
