image_id,description
15546.jpg,a painting of a street scene with people
147 18.59.45_1.jpg,a bronze statue of a woman holding a ball
1053222.jpg,a painting of a vase with flowers in it
114_19.png,a painting of a green and brown square
63771.jpg,a painting of a river with boats and buildings
102_13.png,a drawing of a man with a hat and a cane
356_8.png,a painting of a red and black building
54841.jpg,the ann of the ann of the ann of the ann of the ann of the ann of the
883_1.jpg,a painting of a man in a green jacket
51516.jpg,a painting of a horse and a man on a horse
6444.jpg,a painting of boats in a river with buildings
34576.jpg,a painting of people outside a fountain
98205.jpg,a painting with purple and green colors
24075.jpg,a painting of a city street with people walking
89584.jpg,a painting of blue and green with black and white squares
konstantin-korovin_type-of-settlement-1905.jpg,the village of saint - paul by camille pissiense
56830.jpg,a painting of a boat in the ocean
268_11.png,a painting of a woman with a red dress
5222.jpg,a painting of people in a field
1118_1.jpg,a painting of a man on a horse with a bird flying above him
55543.jpg,a painting of a tent in a field
84558.jpg,"a painting of a yellow, red and blue square"
0883.jpg,a painting of a man in a room with a dog
54466.jpg,a painting of a woman in a red dress
258_3.jpg,icon of the mother of god and the mother of god
21367.jpg,a painting of a woman sitting on a bench
16098.jpg,a painting of two people in a field
00678.jpg,a painting of a vase of flowers
Railway Carriages.jpg,a painting of a train on a track
27726.jpg,a violin and a violin on a table
1092175.jpg,a painting of flowers in a vase on a table
58090.jpg,"the church at st mary's, st mary's church, st mary's church"
1002_4.jpg,portrait of a man in armor
t3_v2y6jj_1.jpg,two birds sitting on a branch
20000712.jpg,a picture of a street with cars and people
25077.jpg,a painting of a man in a black suit
Abstract_image_1930.jpg,a painting of a red and yellow sky
Old Man in Sorrow On the Threshold of Eternity.jpg,vincent van gogh van gogh van gogh van gogh van gogh van gogh van gogh van gogh van gogh
25764.jpg,a black and white drawing of a dog
0213.jpg,a painting of a man in a red robe holding a staff
98495.jpg,a painting of a street with buildings and a car
245_46.png,a painting with multiple colors and black and white
27232.jpg,a woman in a kitchen with a cat
Walk Along the Banks of the Seine Near Asnieres.jpg,a painting of a man walking along the water
44374.jpg,a painting of a mountain scene with a man on a hill
627_5.jpg,a painting of two people in a church
45815.jpg,a painting of a woman in a courtyard
320_1.png,a black and white print with vertical lines
56093.jpg,a painting of a village with a road and houses
59737.jpg,a painting of people in a market
39_13.png,a painting of flowers
1000523.jpg,a painting of a vase and a bowl of flowers
00000269_(2).jpg,a person standing on a beach with a city in the background
15860.jpg,a painting of a village with a horse and a man
1186_3.jpg,a painting of a family
2184_3.jpg,a painting of a young boy holding a cup
33432.jpg,a painting of people walking around a fire
444_2.jpg,a painting of a man and a woman in the snow
47480.jpg,a painting with a white background and a brown and red design
18514.jpg,a painting of two women in a courtyard
14517.jpg,a painting of people in a garden
1 (2929) 11.28.59.jpg,an old woman in the mountains of yunnan
1058453.jpg,a painting of flowers in a vase on a table
256_79.png,a painting of a beach with a cloudy sky
35494.jpg,a painting of a river with boats and buildings
393_54.png,a painting of a black and white striped pattern
59770.jpg,a painting of people walking through a city
claude-monet_meton-seen-from-cap-martin.jpg,a painting of a road near the water
1480893915602406635.jpg,a man and woman are taking a self self self self self self self self self self self self
0593.jpg,a painting of a man on a horse with a bird flying above him
gustave-courbet_landscape.jpg,a painting of a man on a rocky mountain
1041976.jpg,a painting of a green ball on a brown background
100402.jpg,a painting of a man holding up his hands
916_1.jpg,a painting of a nude female in a yellow dress
30626.jpg,a painting of a red and yellow background
99_15.png,a painting with pink and black paint
28422.jpg,a painting of oranges and a teapot on a table
55849.jpg,a painting of a woman with a red and yellow face
132_10.jpg,the icon of the virgin and child
1084100.jpg,a painting of a street in a village
10929.jpg,a painting of a woman in a red dress sitting on a rock
393_135.png,a piece of metal with some paint on it
36883.jpg,a painting of a wooded scene with sheep and sheep
149_1.jpg,"the virgin of the virgin, with a child"
22126.jpg,a painting of a bird on a boat
2012_2.jpg,a painting of two men playing instruments
31418.jpg,a painting of people walking down a street
50114.jpg,a painting of a village in the snow
27989.jpg,still life still life still life still life still life still life still life still life still life still
39415.jpg,"the cr, by retti, c'est, c'est, c'est,"
00000301_(5).jpg,a small lake in the middle of a mountain
ASH_ASHM_WA1958_22-001.jpg,"the adoration of the cross, person, person, person, person, person, person,"
277_10.png,a red painting with a white background
1 (2877).jpg,a woman with frng fr frng frng frng frng frng frng fr
99181.jpg,a painting of a woman with a red background
30869.jpg,a painting of trees in a forest
56449.jpg,a painting of a group of people in a room
256_60.png,a painting with green and red colors
48211.jpg,a painting of a village with a river and houses
t3_vck4tb_1.jpg,a painting of a man laying on the ground
