image_id,description
567.jpg,two women on a bridge by the river
claude-monet_apple-trees-near-vetheuil.jpg,an apple tree in a field with a hill in the background
102_19.png,a drawing of a house with a telephone pole
97374.jpg,a painting of a village with trees and buildings
17164.jpg,a painting of a vase with flowers and birds
90490.jpg,a painting of two people walking along a river
28433.jpg,a black and white illustration of a tree
2168_3.jpg,a painting of a man on a horse with a bird flying above him
27132.jpg,a painting of a couple dancing
308_25.png,a painting on a white wall with a red and blue paint
307_7.jpg,a large piece of paper
38008.jpg,a painting of a tree in a field
1048410.jpg,a painting of flowers in a vase
65_1.png,a purple and red abstract pattern on a white background
96_9.png,a painting of houses on a brown background
60051.jpg,a painting of people in boats on a body of water
1044418.jpg,"claude claude monet's impressione, the seine"
65080.jpg,a painting of a city with a red sky
22153.jpg,a painting of a man in a brown coat
seascape-night-effect.jpg,a painting of a ship in the ocean
53067.jpg,a painting of a cemetery with trees and leaves
294_20.png,a drawing of birds flying over a building
101_35.png,a painting of a woman with flowers in her hair
13461.jpg,a painting of a landscape with trees and a river
painting262.png,a black and white silhouette of a mountain
0894.jpg,a portrait of a young girl
28795.jpg,a painting of trees and a pink sky
3415_mainfoto_05.jpg,a drawing of a street in the city
30004131.jpg,madonna and child by leonardo leonardora
30132.jpg,a black and white drawing of a mountain
1045500.jpg,"a field of apples with the words,'the fruit of the spirit '"
98582.jpg,two prints of trees with a mountain in the background
guy-rose_river-epte-giverny-1910.jpg,a painting of trees in a forest
187.jpg,a painting of a mountain lake with a mountain range in the background
1031054.jpg,a painting of flowers in a vase on a table
82985.jpg,a black and white drawing of a city
1951_3.jpg,a painting of a man in uniform sitting at a table
0627_2.jpg,a portrait of a lady in a red dress
47624.jpg,a painting of a man on a horse
0733_3.jpg,two young girls in a landscape
20005504.jpg,a painting of a street in a village
83976.jpg,a painting with green and yellow colors
82517.jpg,the interior of the church of st mary in the city of prague
62948.jpg,the adoration of the holy trinity
t3_udlwlu_1.jpg,"the cover art for the album,'the end of the world '"
63781.jpg,a painting of a street with houses and trees
alfred-sisley_barges-on-the-loing-saint-mammes-1884.jpg,"the seine, 1888 by claude - jean - louis"
30004242.jpg,the face of jesus with a halo and a halo
0489_1.jpg,"portrait of a lady, half length, in a brown dress, with a white collar and a"
27714.jpg,a painting of a man in a white suit
00000001_(6).jpg,a long exposure of the sea and mountains
53196.jpg,a painting of apples and plums on a table
0144_2.jpg,a portrait of a young girl
26594.jpg,vincent van gogh van gogh van gogh van gogh van gogh van gogh van gogh van gogh van gogh
421_4.jpg,a piece of driftwood
62631.jpg,a painting of a group of people in a field
96868.jpg,a painting of a yellow and red paint
32546.jpg,a painting of an old man sitting in a chair
416_1.jpg,a gold plate with a picture of jesus
25161.jpg,a painting of a man and woman in a landscape
28917.jpg,a painting of a mountain scene with a road
148_37.png,a painting with different colors on it
11109453.jpg,a painting of a construction site
81127.jpg,the last supper of the virgin by pieter de velde
7134.jpg,a painting of trees and water
0788_1.jpg,a painting of a man in a red robe holding a staff
1038842.jpg,a painting of flowers in a vase
37767.jpg,a painting of a city with trees and buildings
22648.jpg,a painting with red and blue paint on it
126_15.png,a sculpture with a red flower on top
10826.jpg,a woman in a white dress sits on a bed in a room with a large window
9368.jpg,a painting on a white wall with a chair
1030314.jpg,"the seine, by claude - jean - louis"
61162.jpg,a white and black pillow with three phases
34784.jpg,a black and white photo of a woman with a large earring
39943.jpg,a painting of a woman and two children in a field
393_391.png,a black and white painting of a city
46136.jpg,a painting of a red and yellow painting
0258_3.jpg,a painting of a man in a blue coat
30906.jpg,portrait of a bearded man
56723.jpg,a painting of a landscape with a river and fields
385_140.png,two paintings of different colors and shapes
61902.jpg,"a painting with red, white and black colors"
145_24.png,a painting of a cityscape with a moon in the sky
50948.jpg,the virgin and child with saints
89482.jpg,the ceiling of the church of san san
151_27.png,a painting of green and blue squares
21881.jpg,a painting of a boy with a red scarf
9293.jpg,a portrait of a man in a blue coat
46627.jpg,a col col col col col col col col col col col col col col col col col col
1131_1.jpg,a portrait of a man in a red coat and green jacket
28678.jpg,a painting of a man in a suit and tie
11108571.jpg,watercolor painting of the pantheon theatre in rome
2917.jpg,a painting of a man in a yellow cloak
t3_qb9d0n_1.jpg,a painting of two people sitting on a bench
39805.jpg,a painting of a field with a sky in the background
14676.jpg,a painting of a woman with long hair
35249.jpg,a painting of a clock with a clock face
63060.jpg,a red mug with a black and yellow design
45646.jpg,"the cover of the book, the boy who was the boy"
