image_id,description
25018.jpg,a painting with a white and blue design
252_90.png,a painting with lots of paint on it
12001.jpg,a painting of a group of people sitting around a table
00000124_(7).jpg,looking up at the canopy of a tree
The Sower Outskirts of Arles in the Background.jpg,a painting of a man digging a field
108_19.png,a painting with black and white paint on it
81_55.png,a green and yellow painting on a white background
21504.jpg,a painting of two women washing clothes in a stream
1085565.jpg,a painting of a woman sitting in front of a window
420_18.png,a television sitting on top of a table
1.jpg,a drawing of a group of people gathered around a fire
728_5.jpg,"the mother of jesus, hand painted orthodox icon"
1030504.jpg,a painting of a windmill and a windmill in the distance
1 (2033).jpg,a man with curly hair and a denim shirt
1104835.jpg,a painting of a vase on a table
41048.jpg,a painting of a street with buildings and a person walking down the street
77_33.png,a painting of a man with a guitar
28590.jpg,a painting of a river scene with boats and houses
1004330.jpg,"still life with a yellow jug, still life with a yellow jug, still life with a yellow"
1004843.jpg,a painting of a man and woman in a room
176.jpg,a sculpture of a man holding a bird
38793.jpg,a painting of trees and a river
60935.jpg,a painting of a city with a river and buildings
17392.jpg,a painting of a house in the woods
Vincent_van_Gogh_-_Portrait_of_Joseph_Roulin_-_Google_Art_Project.jpg,a painting of a man with a beard and a hat
15_71.png,a painting of a yellow and blue circle
14083.jpg,a painting of a star with paint splats
2470.jpg,the cover of the book the history of the crusade
1121145.jpg,a yellow background with a green apple and a yellow background
18814.jpg,a painting with a black frame and a yellow and red painting
18573.jpg,a painting of a house in the countryside
69141.jpg,a painting of a red and green square
1868.jpg,the death of socrates
245_92.png,a painting of a circle with a red and blue circle
276_14.png,a red square painting on a white background
65793.jpg,the virgin and angels by raphael van van
56238.jpg,a black and white drawing of a tree
30143.jpg,a painting of people playing in a park
53831.jpg,a portrait of a man in a red coat
104_4.jpg,a river scene with a village and a bridge
56026.jpg,a painting of a man and woman in a landscape
t3_uiw02r_1.jpg,a piece of paper with a red and brown pattern
233_8.png,a painting with black and green paint on a white background
176_2.jpg,a sculpture of a man holding a bird
39959.jpg,a painting of a tree in the distance
56180.jpg,a painting of apples and other fruits on a table
56940.jpg,a painting of a woman in a white shirt
1086451.jpg,a painting of a table with red and white dishes
0324_2.jpg,a painting of a woman in a blue dress
63862.jpg,a landscape with figures and figures by a river
192_9.jpg,a drawing of three men sitting at a table
1093523.jpg,a painting of a flower on a blue background
23413.jpg,a white wall with a light coming from it
96734.jpg,a painting with a large piece of art on it
38044.jpg,a painting of a forest with yellow leaves
62574.jpg,a painting of a horse drawn by a man on a bridge
1096764.jpg,a painting of flowers in a vase on a table
40002375.jpg,a landscape with figures and figures by a river
Lucas_Cranach_the_elder_%281472-1553%29_%28studio_of%29_-_The_Nativity_-_541114_-_National_Trust.jpg,a painting of a woman and child with a cow
81_4.jpg,a painting of jesus holding a staff
1480886877635519139.jpg,a city street with a lot of billboards
21507.jpg,a painting of a chair with a black seat
t3_o24wf7_1.jpg,two paintings of gan gan gan gan gan gan gan gan gan gan gan gan gan gan gan gan
frederic-bazille_landscape-at-chailly.jpg,a painting of cows grazing in a field
24666.jpg,a painting of a man and woman walking on a beach
1039071.jpg,a painting of flowers and fruit on a table
40493.jpg,a painting of a skull and a skull in a frame
280_6.png,a small square with a small square on the top
1657_1.jpg,a painting of a river with boats and people
35874.jpg,a painting of green and blue
Trees and Undergrowth.jpg,a painting of trees in the woods
0995_1.jpg,a painting of a man with a feathered hat
00000052_(6).jpg,a boat on the lake
27423.jpg,a painting of a man with a staff
42939.jpg,a painting of a man in a suit and hat
74087.jpg,"the cover art for the album,'the moon '"
33_57.png,"person,'untitled ', the art institute, london"
41125.jpg,a piece of paper with a drawing of a man's face
t3_mkx0ez.jpg,a painting of a house with a garden
71_132.png,"a painting with a green, black and red stripe"
t3_sc857l_1.png,a painting of a flower and a moon
43697.jpg,a painting of people on the beach
16742.jpg,a painting of a girl sitting on the floor
37110.jpg,a painting of palm trees in the sky
t3_j9wurc_1.jpg,a cat sitting on top of a table
51828.jpg,a painting of a woman sitting on a chair
t3_vbg2x1.jpg,a painting of a mountain with trees and water
1480889462267182039.jpg,a woman taking a picture of herself in a mirror
32048.jpg,a green book with black lines on it
0907_1.jpg,a painting of a man in a white suit and a man in a blue suit
0409cd9133.jpg,a man standing next to a white horse
59360.jpg,a painting of three women sitting on a chair
29476.jpg,a painting of a child in a chair
46110.jpg,a painting of water lillies in a pond
vincent-van-gogh_sunny-lawn-in-a-public-park-1888.jpg,a painting of a path through a field
40002073.jpg,"the virgin and the virgin, by raphael van de velde"
52179.jpg,a painting of a woman holding a flower
1041743.jpg,a painting of flowers in a vase
29550.jpg,a painting of a street with people walking on the sidewalk
21418.jpg,a painting of a woman holding a child
