image_id,description
98315.jpg,a painting of a brown and pink abstract design
86150.jpg,a blue ink on a white background
78359cbe21.jpg,a kitten is peeking out of a white box
cezanne_259.jpg,still life with apples and pitcher by paul mcc
69007.jpg,a painting of people outside a church
1002036.jpg,"madonna and child, c 1470 - 150"
1087501.jpg,a painting of a vase with flowers on it
82483.jpg,a drawing of a woman with a man in the background
99441.jpg,"a woman in a dress and a hat, with a bird on her shoulder"
15043.jpg,"the sis of jesus, detail of the sis of jesus, sis of jesus, sis of jesus"
00000197_(2).jpg,a rocky beach at sunset with the sun setting over the water
jose-maria-velasco_valle-de-m-xico-desde-el-cerro-de-santa-isabel-1875.jpg,a painting of a landscape with a river and mountains in the background
203_2.png,"person,'the square ', 1967, person"
39037.jpg,a painting of a woman sitting on a rock
91395.jpg,a painting of a man standing in front of a window
48735.jpg,a portrait of a man in a white robe
47889.jpg,a man and woman in a courtyard square sticker
claude-monet_study-of-rocks.jpg,a painting of a mountain with rocks and trees
childe-hassam_the-water-garden.jpg,a painting of flowers in a garden
0252.jpg,portrait of a woman with a fan
paul-cezanne_chateau-noir-3.jpg,a painting of a house on a hill
34675.jpg,a painting of a woman in a field
0272_1.jpg,a painting of two people in a room
t3_sd91f3_1.jpg,a man taking a picture of a building
2265_1.jpg,two young girls in a landscape
49886.jpg,a painting of a crowd gathered around a large circle
1898.jpg,a painting of two people in formal clothing
13_79.png,a drawing of a square with a square in the middle
434_7.png,a drawing of a bird with a big beak
frederick-carl-frieseke_holland-1898.jpg,a painting of a field with trees
377_2.png,a white wall with a hexagonal shape
51930.jpg,a painting of a colorful abstract design
1009339.jpg,the massacre by caravaon
50491.jpg,a painting of a woman sitting on a bed
painting110_1.png,a painting of a mountain scene
0881_2.jpg,a portrait of a man in a red coat and blue vest
11380.jpg,a painting of a woman in a white dress
edgar-degas_beach-with-sailing-boats.jpg,a painting of a beach with people on the sand
85700.jpg,a drawing of a cat with a black and white background
25105.jpg,a painting of a man with a cane
26_13.jpg,"a drawing of venice, italy"
1120898.jpg,a painting of a pitcher and a plate on a table
29987.jpg,a painting on a white background with a picture of a cat
camille-pissarro_the-tumbledown-cottage-near-osny.jpg,a painting of a house in the countryside
36309.jpg,a painting of people in a car
25640.jpg,a painting of trees in the fall
128_60.png,a painting with a white background and a rainbow colored line
33_14.png,a painting of a man with a beard
1042644.jpg,a woman sitting on a rock in a park
385_91.png,a painting of a beach scene with a red and yellow stripe
71163.jpg,the supper by rer van
252_26.png,a painting with red and white paint on it
painting313.png,a black and white silhouette of a mountain
13474.jpg,a painting of a city street with people walking on it
250_3.jpg,a statue of jesus on the cross framed print
204_199.png,a red and white painting with a square shape
49289.jpg,a painting with red and black paint on it
1038050.jpg,a drawing of a bottle and a bowl
80_26.png,a painting of flowers in a vase on a table
33130.jpg,a painting of a mountain lake with a boat in the fore
lesser-ury_der-blaue-berg-1910.jpg,a painting of trees and a hill
38890.jpg,a painting of people in a field
t3_v9mwoo_1.jpg,a painting of a girl with a white dress
67_23.png,a white and green striped pattern on a white background
55006.jpg,"a black and green square with a red, yellow, blue, green and black square"
25819.jpg,the virgin and child with saints
1336_1.jpg,a painting of a man in a black uniform
1089037.jpg,a drawing of a street with a man walking down it
54041.jpg,a blue ink on a white paper
00650_1.jpg,wheat field with crows by vincent van goghe
40004816.jpg,a painting of a crowd of people in a courtyard
gustave-loiseau_rock-cliffs-by-the-sea-in-britain-1906.jpg,a painting of a rocky coastline
74445.jpg,a painting of a dog with a yellow and blue face
27149.jpg,a painting of a man holding a book
painting402_1.png,a painting of a tree with yellow leaves
72354.jpg,a painting of a group of horses
609_4.jpg,a painting of a woman with a hat
t3_sfpnak.jpg,a painting of a field with a dog sitting on the floor
1041931.jpg,a painting of flowers in a field
44340.jpg,a child is skiing down the hill in the snow
portrait-of-charlotte-of-belgium-1.jpg,a painting of a woman in a white dress
46837.jpg,"the cover of the book, the little red hen"
14817.jpg,a painting of a man and woman sitting on a bench
245_2.jpg,a book with a picture of jesus on it
153 18.59.45.jpg,a sculpture of an elephant made out of wood
1038515.jpg,a painting of peppers and peppers on a green background
00000118_(4).jpg,a beach with rocks and water
175_23.png,a painting of trees in a forest
102_5.png,a painting of a house with a red roof
2160_mainfoto_05_2.jpg,a painting of the nat scene with a manger and a womanger
childe-hassam_peach-blossoms-villiers-le-bel-1889.jpg,an oil painting of a tree in a field
245_156.png,a painting on a wall with a picture of a woman
35866.jpg,a painting of a landscape with trees and a pond
204_342.png,a blue and black abstract painting
1480888908542884353.jpg,two women standing on a bridge looking at the city
247_5.jpg,"the person, person, person, person, person, person, person, person, person,"
645_2.jpg,the icon of st nicholas
1002607.jpg,the ceiling of the church of san in the vatican vatican
70769.jpg,a painting of a city with a river and buildings
2101_1.jpg,a painting of a group of naked men
