image_id,description
332_6.jpg,"the scream, ed edler, edler, edler, edler, edler,"
299_14.png,a painting with a green and blue color
36321.jpg,a painting of trees in a forest
110_9.png,a black and white photograph of a woman's face
54688.jpg,a painting of a woman laying on a couch
27073.jpg,a painting of a black and white piece of paper
1009319.jpg,"the cr, c 1480 - 1530, the cr, the cr, c 1480"
t3_lcnt36.jpg,a painting of a snowy road in the woods
32500.jpg,a painting of a man with a beard
1455_4.jpg,a painting of boats in a body of water
53858.jpg,a painting of a man with a large pipe
46713.jpg,the baptism of christ by giovanni de rossi
41587.jpg,a painting of a field with a man in the distance
71680.jpg,a painting of a black and white painting
1558_1.jpg,a painting of a ship in the ocean
1082766.jpg,a painting of a red kettle and a teapot
61891.jpg,the virgins with angels
392_12.png,a round table with a brown and black paint on it
0138.jpg,a painting of a man in a red robe holding a staff
148_68.png,"a painting with black, green, and blue colors"
35421.jpg,a painting of a city with people walking around it
00000311_(4).jpg,the sun sets over the ocean and rocks on the beach
1480881448931397016.jpg,a city at night
30782.jpg,a painting of a man and woman sitting on a bench
t3_mywicz.jpg,a painting of a river with boats on it
26286.jpg,a painting of a woman in a red dress
203_6.png,a black and white rug with a pattern of squares
1 (1231).jpg,a young man with a black shirt and a black shirt
211_16.png,a black and white photo of bubbles in water
56828.jpg,a drawing of a man with a guitar
70585.jpg,"madonna and child, c 1470"
56441.jpg,the ceiling of the sis sis sis sis sis sis sis sis sis sis sis sis sis sis sis
36578.jpg,a painting of a blue and red abstract
68447.jpg,"a painting of a green, yellow and red abstract"
11706.jpg,a painting of a man playing a guitar
90617.jpg,a painting of a city with people walking around
15320.jpg,a painting of a man and woman playing instruments
54905.jpg,a painting of a woman sitting on a red chair
20727.jpg,a painting of people in a room
t3_s2xgpq.jpg,a painting of a field with flowers and houses
30000924.jpg,a painting of people in a boat
52774.jpg,a painting of a black and yellow flower
577_1.jpg,a mosaic depicting the virgin and child jesus
0632_3.jpg,a miniature portrait of a gentleman
1480910097059269596.jpg,a black refrigerator sitting on a wooden floor
30452.jpg,a drawing of a man and woman in a dress
1056503.jpg,a painting of a fish on a rock
135_37.png,a painting of a cup on a white surface
NGS_NGS_NG_2396-001.jpg,a painting of a village scene with people and animals
1357.jpg,a painting of people on a path near a river
40942.jpg,a painting of a house with a tree in the fore
21638.jpg,a painting of a man standing in a field with chickens
1004589.jpg,a painting of people in a wooded setting
claude-monet_plum-trees-in-blossom-at-vetheuil.jpg,a painting of a field with flowers and a house
9232.jpg,a black and white drawing of a woman with a hat
58027.jpg,a drawing of a woman with a bird on her shoulder
1056302.jpg,a painting of a woman holding a cup
10214.jpg,a painting of a sunset with a man on a horse drawn by a man
77137.jpg,a red light shining through a window
8_198.png,a drawing of a man with a hat and umbrella
1085212.jpg,a painting of a vase of lilas
0235.jpg,a painting of a man in uniform and a dog
1120098.jpg,a painting of a woman sitting at a table
30001368.jpg,a painting of a courtyard with columns and arches
116.jpg,a painting of a village with mountains in the background
30000598.jpg,the triumph of the romans
91387.jpg,a painting of fruit and fruit on a table
79_42.png,a painting with red and blue squares
40003230.jpg,the ann of the ann of the ann of the ann of the ann of the ann of the
21761.jpg,a painting of a group of people in a landscape
1030878.jpg,a painting of sunflowers in a blue vase
0712.jpg,a painting of a man in red coat and hat
1101908.jpg,a painting of flowers in a vase on a table
Head of an Old Peasant Woman with White Cap.jpg,an old woman with a white head and a black jacket
1480891635411577500.jpg,a girl in a black dress standing on a bridge
1480884284306572195.jpg,the black lava bracelet with a white and grey stone bea
99699.jpg,still life with still life still life still life still life still life still life still life still life
0744_3.jpg,a portrait of a young girl
275_7.jpg,two framed pictures of jesus and mary
47595.jpg,a painting of a man with a turbal
102700.jpg,a painting of a tree with many colors
17898.jpg,a painting of a woman sitting on a bed
11530.jpg,a painting of a city street with people walking
101905.jpg,a painting of a building with a boat in the water
29406.jpg,a black and white image of a man with a knife
61917.jpg,a painting of a village with a horse and a man
65_45.png,a drawing of a circular with red and black lines
0439_2.jpg,"portrait of a lady, half length, in a brown dress, with a white collar and a"
1085263.jpg,the houses of parliament and big ben by claude van gogh van
1917_3.jpg,a portrait of a man in a black coat and white shirt
1083214.jpg,a painting of a city with a tower
1008001.jpg,still life with flowers and fruit
42252.jpg,a painting of a mountain range with a lake in the fore
218_4.jpg,a black and white drawing of a woman sitting on a bench
0724.jpg,a painting of a woman in a blue dress
22114.jpg,a painting of a dog laying on a table
1480889723730989281.jpg,a mirror in a room
20_3.jpg,the icon of the virgin mary of nazareth
t3_ucw7vb_1.jpg,a person holding a small piece of paper
