image_id,description
297ff6fdfc.jpg,a red dragonfly on a blade of grass
1163.jpg,a painting of a landscape with a road and a mountain in the background
57091.jpg,"a painting with red, yellow and blue colors"
1467_1.jpg,a portrait of a man in a black coat and white shirt
39775.jpg,a painting of a river with a boat in the water
3416.jpg,a painting of a woman sitting on a bed
183_4.jpg,the virgin mary and child
Abstract_image_2091.jpg,a drawing of a field with lines
1081959.jpg,a painting of a village with trees and a hill
1120012.jpg,a painting of a red chair in a room
359_12.jpg,an old drawing of a church in the middle ages
70019.jpg,a painting with blue and green circles
47759.jpg,a painting of people outside a church
101134.jpg,the ann of the ann of the ann of the ann of the ann of the ann of the
63857.jpg,a painting of two people sitting at a table
182_14.png,a painting with yellow and green paint spering
74193.jpg,a painting of a city street with buildings
319_6.png,a black and white painting on a white background
2363_1.jpg,a portrait of a man in a black coat and white shirt
32443.jpg,a painting of a mountain scene with a man on horseback
1092227.jpg,a painting of flowers in a vase on a table
96791.jpg,the fall of the rebel by retti
0092.jpg,a portrait of a man in a black coat and white shirt
1978_1.jpg,a painting of a boat with people in it
44612.jpg,a chinese painting with a boat and a boat
the-japanis-bridge-footbridge-over-the-water-lily-pond-1924.jpg,a painting of a green field
0511_2.jpg,a painting of a woman in a black dress and a red capet
116_1.png,a painting of a woman in a chair
Trees in a Field on a Sunny Day.jpg,"the pine trees, 1888 by paul paul"
47247.jpg,a painting of a woman playing a cello
1862.jpg,a painting of a man in a suit
6917_mainfoto_05.jpg,a painting of a man and woman with a tree
henri-edmond-cross_under-the-pines.jpg,a painting of trees in a park
36654.jpg,a painting with a number on it
338_7.png,artwork by painting artist
21_25.png,a painting of a green and yellow line
camille-pissarro_winter-at-montfoucault-2-1875.jpg,a painting of a tree in the snow
t3_ndsjul_1.jpg,a painting of a man with a flower in his hand
henri-edmond-cross_barges.jpg,a painting of boats on a river
79966.jpg,a painting of a square with many colors
t3_v9z4ns_1.jpg,a painting of a dog with a flower in its mouth
12372.jpg,a painting of a forest with trees and a path
63632.jpg,a painting of a city street with people walking on it
155_8.png,a painting of a woman's face with a yellow and black background
58842.jpg,a painting of a square with a red and yellow border
20359.jpg,a painting of a tree in the woods
28cd511ba8.jpg,a man is petting a donkey
65600.jpg,a painting of a green and yellow geometric pattern
1039981.jpg,still still life still life still life still life still life still life still life still life still life
51017.jpg,a painting of a street scene with buildings
74457.jpg,a painting of a city with a river and a church
51783.jpg,a painting of a horse in a field
414_2.png,a painting of a boat on the beach
75_9.jpg,a 19th russian icon of the christ
95210.jpg,a painting of a young boy with a red cap
30003579.jpg,a painting of a church and a village
40998.jpg,a painting of a woman sitting on a rock
26339.jpg,a black and white drawing of a man in a suit
29757.jpg,a painting of a woman standing in front of a mirror
Abstract_image_2674.jpg,a painting of a woman with a black and white face
397_30.png,a painting with red and black paint on it
77572.jpg,a painting with many colors and shapes
85_10.png,a large painting on a wall in a room
18860.jpg,the adoration of the holy
49129.jpg,a painting of a square shape with a white background
t3_sn8uej_1.jpg,a painting of a lake with clouds in the sky
00000031_(4).jpg,a body of water
740_1.jpg,st nicholas of alexandria
nativity-the-wing-of-polyptych.jpg,the adoration of the adoration of the adoration of the adoration of the adoration
1057591.jpg,a vase of flowers on a table
alfred-sisley_the-washerwomen-of-moret-1887.jpg,a painting of rocks on the beach
61045.jpg,a painting of a woman standing on a bridge
110f709dfb.jpg,a butterfly on a flower
54666.jpg,a painting of people at night
childe-hassam_bather.jpg,a painting of a tree in the woods
1480892639788545168.jpg,a beach with a quote on it
vincent-van-gogh_enclosed-field-with-a-sower-in-the-rain-1889-1.jpg,a drawing of a road with a person walking in the rain
56539.jpg,a painting of a landscape with trees and clouds
0fca1dab52.jpg,a groundhog standing in a field
97430.jpg,a painting of a street with a building and trees
57389.jpg,a painting of a woman in a dress
1124616.jpg,a painting of a street at night
1888_2.jpg,a painting of a man in a red robe holding a staff
11217.jpg,a painting of a field with trees and a man
1252_1.jpg,a painting of people in a wooded setting
maurice-prendergast_lake-new-hampshire.jpg,a painting of trees and water
57253.jpg,"two women in blue dresses, one holding a book"
gustave-loiseau_petit-dalles-at-normandy-1908.jpg,"the cliffs at pourville, 1886 by claude claude"
0865_1.jpg,two young girls in a landscape
Self-Portrait with Straw Hat and Pipe.jpg,a painting of a man with a straw hat
0265_3.jpg,two young girls in a landscape
1095501.jpg,a painting of a man with a beard and a flower
281_20.png,a blue square with a diagonal pattern
1085907.jpg,a painting of a road with a sky in the background
96684.jpg,a painting of a woman sitting at a table
32891.jpg,the virgin and the virgin
42246.jpg,still life with flowers by henri - baptiste lemain
58682.jpg,a painting of a woman with a red dress
1054797.jpg,a drawing of a man holding a fishing rod
6091.jpg,a painting of trees in the woods
