image_id,description
1004832.jpg,a painting of a woman sitting at a table
1480907912020091788.jpg,virgin hair extensions
76803.jpg,a painting with green and white paint on it
0873_1.jpg,a painting of two people in formal clothing
41225.jpg,a painting with yellow and black on a white background
199_5.png,a wooden dresser with a red and brown pattern
12764.jpg,a painting with a lot of paint splats
t3_mkx0ez_1.jpg,a painting of a castle with a lake in the background
15132.jpg,a painting of a woman walking down a path
142_14.png,a book with a picture of a room with a wall
358_26.png,a painting on a white surface with red paint
61002.jpg,a painting of trees in the woods
211_32.png,a painting on a white wall with a red and black piece
The Sower study.jpg,a man standing on top of a hill
2579_1.jpg,a greyhound dog in a field by john william
1038550.jpg,a glass with water pouring out of it
17095.jpg,a painting of a woman with an umbrella
2_54.png,a painting of a man on a horse
60236.jpg,a painting of two people in a blue and purple background
393_303.png,a painting with red and black paint on it
373_8.png,a pink and yellow square rug with a pattern
73108.jpg,a painting of an old man reading to a child
0823_3.jpg,a painting of two people in formal clothing
203_96.png,a large green and blue sculpture in a park
205_34.png,a col col col col col col col col col col col col col col col col col col
285_3.jpg,"the icon of jesus with a sign that says,"
34773.jpg,a drawing of a house with a road in the background
Abstract_image_2105.jpg,a painting of a bird on a black background
49763.jpg,a drawing of a group of people in a room
28573.jpg,a painting of a woman in a white dress
30001350.jpg,a painting of a garden with a bench and a statue
gustave-courbet_la-ferme-de-bonnevaux.jpg,a painting of a farm with a house in the background
1034575.jpg,a painting of flowers in a vase on a table
52596.jpg,a painting of a city street with people walking
63321.jpg,the three wises by john frederick
81_25.png,a blue and green painting with a green strip
1002058.jpg,an old painting of a woman holding a baby
7_7.jpg,a statue of a man laying on the ground
t3_r3gidz.jpg,a painting of a purple and blue fabric
camille-pissarro_lane-of-apple-trees-near-osny-pontoise-1874.jpg,a painting of a road with a person walking down it
40_11.jpg,a sculpture of a woman with a flower in her hair
26268.jpg,"a poster for the beatles's album,'the beatles '"
1729.jpg,a painting of a group of people in a field
1043329.jpg,a painting of a plate of food and a knife
61041.jpg,a painting of a town with a hill in the background
14877.jpg,a drawing of two women in a room
31548.jpg,"a couple in a floraled dress, with flowers on their head"
1084722.jpg,a black and white illustration of a cityscape
372_4.png,a painting of a dog on a blue and yellow background
22649.jpg,a painting of a village with a mountain in the background
33981.jpg,a painting of a white and pink square
41324.jpg,the book of enoch
26140.jpg,a book with a picture of a man and a dog
11108269.jpg,a painting of a city street at night
t3_lhm703_1.jpg,a painting of a tree with leaves on it
60791.jpg,a painting of a city street with people walking
33650.jpg,a woman in a white dress sitting on a grass covered hill
11414.jpg,a painting of a man in a village
55316.jpg,a painting of a man and a dog in a tent
0533.jpg,a painting of a man sitting in a chair with a dog
45512.jpg,a poster with a forest scene and a mountain in the background
40735.jpg,a painting of a woman in a yellow jacket
685_5.jpg,a painting of a woman holding a child
48828.jpg,"the cover of the book, the story of the farm"
634_2.jpg,an icon of the mother of jesus
32285.jpg,a painting of a road with a man walking down it
31257.jpg,a black and white drawing of a man on a horse
68_4.jpg,a sculpture made out of black rocks
31315.jpg,a wooden box with a colorful pattern inside
294_56.png,a painting of black and white paint
56007.jpg,"the cover of the book, the story of the dragon"
284_12.png,a painting on a wall with a red and yellow border
7ace210e11.jpg,a butterfly sitting on top of a flower
30004406.jpg,a painting of a group of people in a park
3907.jpg,the cr cr cr cr cr cr cr cr cr cr cr cr cr cr cr cr cr cr
52751.jpg,a painting of a man in a suit and tie
60000136.jpg,a painting of a woman in a room with other people
oat-and-poppy-field.jpg,pop pop by claude claude monot
antibes-seen-from-the-salis-gardens-01.jpg,a painting of a tree in the fore
60_19.png,a painting of a square with circles and squares
10180_mainfoto_05_1.jpg,a painting of a mother holding a child
1694_1.jpg,a portrait of a young girl
256_133.png,a painting of a green and blue color
1914_2.jpg,"portrait of a lady, half length, in a brown dress, with a white collar and a"
280_7.jpg,a painting of a woman sitting on a rock
64319.jpg,a painting of a man with a guitar
95999.jpg,a black square with a white border
37412.jpg,a painting of a river with houses and a boat
57385.jpg,a painting of a woman holding a child
74109.jpg,the blue paint is a great color for a room
46983.jpg,a painting of boats docked in a harbor
74_12.png,a painting of people walking down a street
64023.jpg,a painting of a man on a horse
00000047.jpg,a fence in the snow with a view of the ocean
92149.jpg,a painting of a blue ball on a white background
355_43.png,"a painting on a white wall with a red, blue and green stripe"
0873.jpg,a painting of two people in formal clothing
20_24.png,a stained glass window in the church
50150.jpg,a painting of trees in a field
2015_3.jpg,two young girls in a landscape
